Absolute Magnitude,Relative Velocity km per sec,Miss Dist.(kilometers),Orbit Uncertainity,Minimum Orbit Intersection,Jupiter Tisserand Invariant,Eccentricity,Semi Major Axis,Inclination,Asc Node Longitude,Orbital Period,Perihelion Distance,Perihelion Arg,Aphelion Dist,Perihelion Time,Mean Anomaly,Mean Motion,Hazardous
22.4,22.42136631,30075154,6,0.000317965,7.033,0.475819477,0.813876725,23.18568668,117.111224,268.186165,0.426618327,220.9403708,1.201135123,2457996.36,5.556806413,1.342351124,0
25.8,17.27461146,64479012,4,0.00186378,5.122,0.204840678,1.240789318,13.74423321,161.9335186,504.8303955,0.986625193,13.92021256,1.494953443,2457935.033,46.68495945,0.713110786,0
25,12.11850995,53825524,6,0.0187898,6.384,0.326860712,0.930233744,8.333753552,20.49127087,327.7076361,0.62617688,128.4631299,1.234290608,2457939.713,66.77697674,1.098540163,0
19.1,10.82992629,64425220,0,0.214004,4.862,0.149357963,1.322923788,21.26523155,122.4368332,555.777122,1.125334586,297.7298537,1.52051299,2457976.985,15.23187455,0.647741668,0
18.8,39.60532791,45023444,0,0.102643,3.242,0.861093331,1.982738584,10.02263604,163.2099234,1019.756809,0.275415613,199.3714587,3.690061555,2457894.226,37.51725738,0.353025346,0
25.2,25.21128858,74196656,6,0.0119773,6.89,0.441694355,0.837557008,19.76759211,243.6149509,279.9754763,0.467612806,41.64832248,1.207501211,2457925.368,96.60735473,1.285826904,0
20,3.089003929,35727636,0,0.240288,3.788,0.37754936,1.95815426,5.660561156,112.164417,1000.849507,1.218854372,34.30691815,2.697454147,2457771.553,82.35082443,0.359694437,0
21,20.01924193,71520800,1,0.0984179,6.469,0.452792293,0.907864593,8.27869574,114.3798293,315.9585012,0.496790502,7.392326564,1.318938684,2457968.757,36.16756329,1.139390137,0
22.3,8.526320844,69003400,3,0.0259126,5.372,0.25973232,1.166519916,5.035044226,28.85202161,460.1894558,0.863536992,271.6146744,1.469502839,2457770.913,179.6031186,0.782286503,0
22.7,7.919524045,16047525,4,0.0525422,6.519,0.151415852,0.913730316,5.860414923,177.8573023,319.0255592,0.775377062,90.64125634,1.052083571,2458138.756,203.9869516,1.128436232,0
26.1,4.655478593,38220508,5,0.018587,6.36,0.171432883,0.939138959,11.94779477,229.0663218,332.424644,0.77813966,227.549975,1.100138258,2458042.506,314.5094251,1.082952201,0
20.6,2.164372849,63257484,2,0.183818,3.753,0.407470352,1.978471309,4.061695563,142.2597511,1016.466481,1.172302908,38.66044218,2.78463971,2457957.835,15.11056876,0.354168098,0
21.7,28.41895426,7261686.5,1,0.0128745,6.152,0.868418907,0.906733743,4.03507427,342.7842082,315.3683408,0.119309016,322.3904958,1.694158469,2453597.575,303.9792986,1.14152232,1
23.9,10.55151977,2952796.75,3,0.0109543,4.767,0.398820008,1.357919278,3.854342069,341.2186362,577.9754044,0.8163539,237.1733163,1.899484655,2457913.298,54.31490079,0.622863875,0
23.9,17.56490765,64932800,1,0.0453154,6.298,0.397381006,0.94032584,11.60766472,195.3700872,333.0550193,0.566658212,315.2418743,1.313993469,2458097.467,255.1877435,1.080902491,0
21.3,19.22316546,15266183,4,0.0140066,5.149,0.249424883,1.183993437,35.2402425,149.1565599,470.5679774,0.888676013,55.21650962,1.479310862,2457816.155,141.0296512,0.765032933,1
26.989,7.16414806,31654442,7,0.0071428,5.874,0.317906126,1.034367661,4.008314775,322.7144945,384.2473032,0.705535845,249.0178765,1.363199477,2457901.624,92.63701924,0.936896621,0
19.3,13.57630264,52470692,0,0.00132059,5.308,0.190284255,1.189560559,5.883903318,251.5911063,473.8907827,0.963205914,211.446774,1.415915205,2457797.751,154.0217068,0.759668711,1
22.6,11.47029804,7744736.5,0,0.0341962,5.089,0.428252611,1.234937694,5.850410278,151.2892419,501.2634018,0.706072403,292.6184517,1.763802986,2457751.689,178.6926558,0.718185287,0
23.8,11.93064253,14592393,0,0.052677,7.48,0.386458786,0.762974434,20.83376792,352.9223652,243.4240059,0.468116261,351.1788108,1.057832607,2455988.219,203.6522586,1.478900976,0
28.6,9.874143162,21946004,6,0.00220111,5.349,0.229959584,1.176188921,1.990548432,336.8735047,465.9228969,0.905713006,120.0623448,1.446664836,2457796.516,157.610209,0.772660031,0
21.2,15.93870716,25865906,6,0.0667857,4.469,0.437398953,1.442414905,24.56842188,151.7319137,632.7522952,0.811504136,97.07781957,2.073325675,2458075.09,317.5623087,0.568943017,0
22.8,11.74041348,49843512,6,0.0452308,6.708,0.51390657,0.865355365,6.812692898,64.12627503,294.028997,0.420643557,292.8831881,1.310067172,2457885.994,140.1980047,1.224369037,0
23.8,11.93061192,14592338,0,0.0515902,7.48,0.386445067,0.762953501,20.83340837,352.9209235,243.4139883,0.468113884,351.1779799,1.057793118,2456231.633,203.0327732,1.47896184,0
23.6,3.838016764,12937927,0,0.0231683,5.694,0.1755281,1.08505392,1.499707987,143.9720934,412.833952,0.894596466,2.124647144,1.275511373,2458019.676,343.2780838,0.872021301,0
19.8,14.65060718,73819112,0,0.00864628,5.679,0.659670171,1.039069958,1.660280613,211.1661459,386.8704957,0.353626501,111.2704878,1.724513416,2458022.991,339.0708465,0.930543952,1
21.7,7.514875357,74676320,0,0.072723,4.988,0.180694935,1.298712854,2.883848268,42.77459458,540.5901588,1.064042019,283.6789059,1.533383689,2458116.955,282.4479213,0.665938871,0
20.1,14.38282119,62975644,0,0.286119,5.55,0.608529113,1.067729565,19.76609421,228.3483096,402.9863441,0.41798504,179.9055931,1.717474091,2458175.962,203.254479,0.893330519,0
19.9,16.53824927,55719572,0,0.00632801,5.118,0.200158668,1.225054256,23.76674096,157.1413506,495.2579003,0.979849028,9.618026017,1.470259485,2458225.396,196.5243824,0.726894008,1
27.4,7.339140833,10631156,7,0.00184403,5.435,0.221635471,1.149622484,7.430785915,330.7831998,450.2267561,0.894825363,290.4836428,1.404419606,2457820.163,144.1965902,0.799597081,0
23.9,10.59959371,58869008,5,0.110326,4.698,0.225484982,1.408325756,8.113962312,158.2260558,610.454233,1.090769447,28.4122282,1.725882064,2457721.451,164.5618703,0.589724799,0
26.9,22.82462864,70754448,7,0.00602602,6.938,0.29973327,0.841631581,10.27694003,171.1772581,282.0210087,0.589366594,218.2204921,1.093896567,2457932.079,87.33995138,1.276500647,0
21.424,20.37422233,33566916,6,0.0890355,4.955,0.147884621,1.235912133,39.4070151,356.5439055,501.8568085,1.053139736,218.601812,1.41868453,2457874.564,90.33855226,0.717336088,0
17.3,22.96034994,12975059,0,0.0591071,3.12,0.776643889,2.263196034,9.064507174,352.6914108,1243.602788,0.505498665,299.7393342,4.020893403,2458582.733,191.4543291,0.2894815,0
26.5,7.516462188,35312740,1,0.00576149,6.132,0.013948498,0.988667858,4.3209082,264.4056022,359.0658068,0.974877427,87.81644304,1.002458289,2457942.407,58.24402434,1.002601733,0
18.8,21.53473449,69933392,1,0.264451,3.214,0.44459978,2.250574629,40.07490632,190.8023227,1233.214308,1.249969645,16.17455003,3.251179614,2458488.264,217.6120228,0.291920064,0
28.15,13.59223294,48298924,4,4.42E-05,5.916,0.145894028,1.033210408,3.174319581,10.44411033,383.6026381,0.882471179,85.73153236,1.183949636,2458145.012,224.3796114,0.938471127,0
20.8,8.187885954,57238648,2,0.0497576,5.797,0.296206129,1.052079403,7.906473496,128.8405408,394.1587792,0.740447036,242.2931976,1.36371177,2457881.086,109.0655767,0.913337515,1
25.6,14.09120316,40237380,7,0.024568,6.797,0.198610407,0.863323089,15.29060134,18.6394879,292.9938206,0.691858139,344.8005314,1.034788039,2458132.945,197.2654368,1.228694855,0
25.4,11.19950105,34836728,5,0.0053862,6.79,0.177454625,0.869336432,1.867798491,150.0050897,296.0603494,0.715068661,204.9786871,1.023604203,2457906.714,114.0409109,1.215968301,0
19.4,9.304865523,5421688.5,1,0.0215286,5.768,0.12904386,1.061197121,15.08972042,215.4436355,399.2937582,0.924256148,61.17301359,1.198138093,2457865.406,301.4816145,0.901591855,1
21,26.05388051,59935336,1,0.175606,4.38,0.545844028,1.487152225,10.42495329,114.7292731,662.417145,0.675399064,354.169234,2.298905386,2457734.923,144.3317647,0.543464194,0
20.9,19.26861257,65708916,0,0.0337336,5.148,0.523263109,1.182148765,23.2772054,65.77208246,469.468682,0.563573927,110.1549531,1.800723602,2457785.993,164.4894217,0.766824314,1
19.4,9.304865524,5421688.5,1,0.020437,5.768,0.129015347,1.061191066,15.09000476,215.4428313,399.2903412,0.924281133,61.1891387,1.198101,2457865.417,121.7908146,0.90159957,1
18.9,14.34253068,33947260,0,0.00433054,3.539,0.532484748,2.104018122,8.168524524,299.0216816,1114.737577,0.983660562,332.9520295,3.224375682,2457678.054,104.1327876,0.322945963,1
24,10.84353509,46063436,3,0.0666464,6.379,0.247374753,0.935217007,7.02845027,204.1993483,330.3444547,0.703867931,23.65247194,1.166566083,2458103.637,247.6041478,1.089771585,0
21.494,15.67869704,29137866,5,0.0739088,6.696,0.383885058,0.874062218,10.86837596,100.3027573,298.4777408,0.538522793,257.1689857,1.209601643,2457968.782,38.25533,1.206120092,0
17.4,36.90278723,46238112,0,0.0508661,3.58,0.563978044,1.723590508,53.82827282,38.98727038,826.5127687,0.751523304,114.9699501,2.695657712,2458079.943,325.3972972,0.435564959,0
22.1,15.79708507,27445294,0,0.0549144,5.293,0.153836991,1.157817149,31.04245161,49.31999677,455.0492405,0.979702043,246.8332903,1.335932256,2458117.764,267.2300401,0.791123175,0
21.6,20.28945338,30440984,0,0.0812573,5.01,0.476510033,1.253468714,5.800925368,191.2587797,512.5882833,0.656178296,147.9375113,1.850759132,2458112.46,281.3684519,0.702318043,0
20.5,19.85485062,22393042,1,0.117551,6.468,0.5265427,0.896338941,20.13021458,38.7816058,309.9608359,0.424378215,334.9806742,1.368299666,2457976.506,27.86736523,1.161437054,0
21,24.71825521,51248596,2,0.00215466,4.092,0.53324626,1.653696613,7.502275136,74.49124208,776.7516458,0.771869078,250.7422433,2.535524147,2457669.893,153.2259945,0.463468603,1
22.2,11.39660227,34981784,1,0.0499383,5.512,0.498869693,1.100327267,10.78773208,16.98040476,421.5812038,0.551407341,125.979501,1.649247193,2457807.135,165.1195034,0.853928014,0
20.6,15.45541989,16406984,7,0.0947896,4.044,0.490849799,1.661650553,22.13016643,72.21757892,782.3624023,0.846029713,100.3153715,2.477271393,2457629.305,170.8032502,0.460144811,0
24.4,14.68517642,57902824,0,0.021176,5.17,0.189682932,1.233608012,5.565071113,215.9032878,500.4540394,0.999613628,323.5602404,1.467602397,2457831.348,121.6788611,0.719346776,0
18.8,19.53617081,51898464,2,0.0613713,3.232,0.591282536,2.269587545,28.17732241,95.20300055,1248.874609,0.927620066,158.5215331,3.611555024,2458591.875,189.5306371,0.288259524,0
25.8,4.823898633,60106416,6,0.00120536,4.769,0.350066433,1.365936091,0.654497157,214.1302323,583.1012834,0.887767716,119.6465719,1.844104467,2458076.2,313.2636057,0.617388454,0
24.3,11.50824853,3868730.5,7,0.0222117,5.054,0.202625296,1.253655419,20.00369553,256.4453283,512.7028131,0.999633119,38.56656344,1.507677719,2458106.355,285.6728098,0.702161156,0
19.6,18.33273398,53124212,0,0.0142281,5.208,0.234803202,1.187057032,27.42819291,91.30172769,472.3955569,0.908332239,58.29306828,1.465781824,2457814.672,349.2002761,0.762073213,1
26.2,7.92636157,24354582,6,0.00634687,5.537,0.119756633,1.12660195,6.507326871,242.5828956,436.7713817,0.991683894,318.5163366,1.261520006,2458071.889,301.1588143,0.824229826,0
20.8,19.66727897,54831432,1,0.113249,6.447,0.299153918,0.912717017,21.03334898,87.57392832,318.4950216,0.639674145,23.616922,1.185759888,2458072.706,278.3844048,1.130315941,0
19.6,18.33270757,53124064,0,0.014981,5.208,0.234770561,1.187075903,27.42934757,91.29622834,472.406822,0.908385427,58.30311252,1.465766379,2457814.668,141.6139707,0.762055041,1
20.616,17.48135593,48423144,5,0.317486,5.612,0.405478939,1.062613441,29.97955176,280.3174925,400.0933971,0.63174607,202.1321893,1.493480811,2458183.942,194.9409037,0.899789906,0
17.5,16.12549274,45024036,0,0.0636542,3.367,0.548401882,2.306718529,3.246143241,213.2863018,1279.647443,1.041709746,98.03956329,3.571727313,2457601.275,112.3129187,0.281327487,0
22,13.47523501,9816599,7,0.0589302,5.364,0.309772347,1.150231298,20.0186282,268.096334,450.5844479,0.79392145,70.13595363,1.506541146,2458052.234,318.6663284,0.798962329,0
23,4.331719159,14103325,5,0.0949569,4.633,0.231820931,1.438387666,7.096661498,253.4295183,630.1041683,1.104939299,18.9283631,1.771836034,2458088.209,309.8889443,0.571334103,0
21.5,16.93829897,46137780,4,0.0738937,3.5,0.526147419,2.161978056,4.440911302,237.8567753,1161.115304,1.024458882,78.24190435,3.299497229,2458038.03,348.3639763,0.310046727,0
16.5,13.11454201,6895954,0,0.0436453,7.557,0.339979716,0.753184434,24.92729628,272.692819,238.7538758,0.497117004,156.6239373,1.009251863,2458103.876,204.1265053,1.507828925,1
20.2,11.0655789,73181936,0,0.0270542,5.556,0.461492035,1.087142229,18.28352143,246.7509553,414.0263439,0.585434749,256.0421444,1.588849709,2458057.799,310.1782421,0.869509888,1
27.1,12.55217618,18219530,1,0.00108035,6.997,0.388447279,0.830728068,5.059664077,166.1544806,276.5583359,0.50803401,319.7961989,1.153422125,2458016.803,338.7787407,1.301714515,0
27.2,12.52653474,55870700,7,0.00396247,6.385,0.360124157,0.929745407,0.49522171,323.4926065,327.4496188,0.594921626,264.2658161,1.264569188,2458072.033,281.3559795,1.099405769,0
21.571,12.83532762,47410376,5,0.119136,4.491,0.294842974,1.498548587,6.801303326,56.16673209,670.0460779,1.056712065,259.3072848,1.940385108,2457965.064,19.03910494,0.537276483,0
18.7,24.36345562,67884888,0,0.00197078,4.054,0.492126625,1.694978563,7.839116849,326.9024686,806.0180024,0.860834483,233.0557394,2.529122644,2457919.652,36.11013318,0.446640148,1
20.6,8.953169059,20690156,0,0.0355235,6.454,0.412094837,0.913852028,5.208499322,205.242573,319.0893041,0.537258325,211.1301077,1.290445731,2456372.826,330.2984546,1.128210803,1
18.1,15.59463771,57920168,0,0.243876,3.776,0.392904405,1.907178251,19.80151512,90.67146973,962.0227782,1.157839515,235.8207926,2.656516987,2457630.109,138.6044237,0.374211514,0
19.5,31.60773533,61771396,0,0.00803028,3.594,0.537495151,1.854462055,38.50091553,124.7942813,922.4128708,0.857697693,237.7160546,2.851226417,2458244.068,264.9401354,0.390280764,1
18.7,32.18140575,35621844,0,0.22291,5.289,0.79075696,1.064507658,43.56115448,276.4541322,401.1636849,0.222740818,160.1054368,1.906274498,2457979.537,18.81210234,0.897389304,0
18.7,32.18140589,35621840,0,0.22291,5.289,0.790756969,1.064507658,43.56115504,276.4541315,401.163685,0.222740809,160.1054356,1.906274507,2457979.537,18.81210291,0.897389304,0
20.1,18.51752548,48037404,0,0.14088,4.574,0.247696643,1.376451096,37.22407109,106.1303161,589.8473138,1.035508781,244.0632687,1.717393412,2457658.844,324.390888,0.610327438,0
20.1,31.12855633,71772336,1,0.00799405,3.918,0.607312702,1.733869194,0.920945054,317.3928578,833.9171826,0.680868408,228.7276848,2.786869979,2458218.506,265.8872187,0.431697544,1
20.2,18.51751945,48037648,0,0.141147,4.574,0.247647176,1.376501612,37.22279207,106.124859,589.8797848,1.035614874,244.0608254,1.717388349,2458248.697,208.5269511,0.610293842,0
19.7,26.34786713,55637000,1,0.200346,3.568,0.436416168,1.895561585,40.75589996,296.3182957,953.2466222,1.068307863,56.5605408,2.722815307,2457581.929,158.076077,0.377656728,0
16.7,20.29179925,60871124,0,0.256265,3.427,0.707411423,2.016449151,15.95128044,168.5299865,1045.873933,0.589989988,167.1005289,3.442908314,2458304.369,255.405256,0.344209745,0
17.9,15.34221967,66316588,0,0.0451383,5.169,0.2780788,1.189569735,30.12254061,292.475757,473.8962657,0.858775611,84.2046886,1.520363859,2458067.793,308.879961,0.759659922,1
23.7,9.830749452,48873616,6,0.0752783,6.424,0.222717159,0.925365007,13.08284558,359.7151699,325.138229,0.719270342,330.5650247,1.131459673,2458031.559,325.6108651,1.107221384,0
20.3,15.41407222,72039488,2,0.0449381,7.609,0.271073411,0.752153136,19.19763083,358.6587801,238.2636732,0.54826442,347.462346,0.956041852,2458042.556,296.4561445,1.510931126,1
20.7,14.69930803,44574208,0,0.143015,4.911,0.249441069,1.310034736,14.9755113,119.3113638,547.6746556,0.983258271,267.3785245,1.636811201,2458217.785,217.1735398,0.657324556,0
17.5,21.25585067,45663968,0,0.0197173,3.356,0.574960298,2.237486606,16.14284854,116.8191316,1222.472485,0.951020639,139.3276944,3.523952572,2458453.145,226.7028231,0.294485156,1
20.3,19.8486346,72342576,0,0.122189,4.593,0.256806994,1.367546505,37.36069361,118.9617954,584.1327857,1.016350997,305.8884069,1.718742012,2458225.754,221.1766294,0.616298227,0
24.1,9.509879717,5849801.5,6,0.00335624,6.997,0.407319308,0.830129387,1.914256662,243.0519125,276.2594286,0.492001659,213.6346689,1.168257114,2458037.143,312.250296,1.303122944,0
22,16.06106628,73313632,1,0.013789,6.449,0.514665143,0.906144457,8.805309987,211.1157355,315.0609542,0.43978349,44.63381586,1.372505423,2458106.755,238.5895015,1.142636037,1
27.8,20.48445425,66852456,6,0.00229906,4.988,0.296916945,1.288215732,3.648952369,177.7237953,534.0492686,0.905722653,54.57036919,1.670708811,2458044.555,330.3027266,0.674095109,0
25.8,19.53492824,54720140,6,0.0041285,4.906,0.314229057,1.27714625,27.79521315,334.352604,527.1805463,0.875829788,239.4568281,1.678462713,2457812.928,128.0888493,0.682878006,0
20.5,13.20166038,66886804,1,0.154706,6.085,0.540517802,0.968377582,11.22419548,128.2836975,348.0691375,0.444952259,358.5166597,1.491802904,2458091.375,266.0102798,1.034277278,0
21,24.36755481,64415952,2,0.164167,5.751,0.592063725,1.022048327,22.48814426,64.94457277,377.4031966,0.416930587,27.71113556,1.627166066,2457920.96,75.8722848,0.953886992,0
20.5,14.24794319,29983460,2,0.0640277,6.754,0.247892802,0.869240053,14.07363263,303.6194514,296.0111168,0.6537617,241.2457182,1.084718406,2457852.557,179.924266,1.216170541,0
26.5,15.4970038,43464572,7,0.0200872,6.076,0.194466804,0.992841817,12.93289525,107.3080061,361.3420617,0.799767043,105.9025699,1.185916592,2457830.559,169.3102929,0.996285897,0
19.2,19.88515963,33564184,2,0.180276,3.715,0.636478826,1.847854685,12.09592,242.808322,917.4874872,0.671734305,165.6231304,3.023975065,2458249.852,262.1602702,0.392375923,0
18.3,3.631631329,36989136,0,0.120423,4.57,0.275645196,1.461599741,7.559174,122.4573311,645.4180589,1.058716794,249.7394136,1.864482687,2457753.756,137.6282213,0.557778009,0
18.8,10.6702067,70651280,0,0.236062,4.729,0.184342662,1.373675246,21.21089365,137.0475227,588.0639207,1.120448295,101.1889164,1.626902197,2458050.991,329.0904802,0.612178349,0
24.7,19.64827271,70551696,3,0.0285671,5.865,0.203051046,1.042607694,4.222235016,146.2448747,388.8479514,0.830905112,296.93581,1.254310277,2458180.936,192.9503264,0.925811744,0
24.4,15.82831923,49979660,6,0.00908397,7.176,0.362341282,0.804511168,14.95651571,206.1288496,263.5703437,0.51300356,327.9460141,1.096018776,2458032.74,315.9645924,1.36585928,0
21.2,12.8466218,62941832,1,0.138005,5.122,0.172750556,1.220779403,25.78403061,157.2242453,492.6678434,1.009889082,76.36357281,1.431669723,2458195.525,217.4920488,0.73071544,0
19.3,20.98692105,71921168,1,0.0261387,4.943,0.245349287,1.249949556,34.84177629,149.9465217,510.4311345,0.943275324,309.258656,1.556623789,2457720.011,275.7103215,0.705286131,1
18.2,13.64081603,26301152,4,0.183099,2.929,0.58662393,2.857746915,22.63213585,342.2124259,1764.550426,1.181324189,14.05256967,4.534169641,2458761.988,204.6427293,0.204017972,0
25,1.444412563,16750804,4,0.0448509,5.397,0.108415164,1.167829549,2.294234819,7.634139745,460.9646443,1.041219117,19.27899905,1.294439981,2457870.114,101.8278746,0.780970958,0
19.3,20.98684799,71920712,0,0.0287566,4.943,0.245382733,1.249866956,34.84082309,149.942227,510.3805389,0.943171187,309.2546883,1.556562725,2458230.388,197.8474532,0.705356048,1
23,12.19944446,51441896,6,0.0896811,4.56,0.311335293,1.452642086,13.21059097,270.8048443,639.493833,1.000383337,127.8868226,1.904900836,2457684.268,178.0213353,0.562945225,0
19.9,21.82359578,65705832,2,0.0703769,3.725,0.690417545,1.810032265,4.629447664,153.6329594,889.4630304,0.560354232,204.5057853,3.059710299,2457982.891,7.126982341,0.404738576,0
19.5,15.51968958,63934848,0,0.229332,5.34,0.554230336,1.122247254,24.46689441,191.2527124,434.2414279,0.500263781,29.44391573,1.744230727,2458125.674,256.2265858,0.829031909,0
24.8,5.772196918,60424960,5,0.0378689,5.004,0.188922652,1.292702073,0.976628312,45.26691336,536.8415168,1.048481369,190.6591072,1.536922777,2457869.144,88.08560387,0.67058897,0
26.692,5.985693748,30038752,3,0.00138825,6.015,0.264053886,1.007138471,1.811674081,185.8691791,369.1749337,0.741199644,100.323037,1.273077299,2457910.969,87.30597168,0.975147463,0
21.2,33.01373457,64146424,0,0.0443814,2.976,0.742919771,2.535083409,8.947767875,344.1615922,1474.303194,0.651719822,118.2595344,4.418446995,2457387.13,149.7746537,0.244183151,1
20.8,12.23303167,37765468,5,0.214825,3.914,0.398025538,1.777807588,22.95160411,344.0968674,865.815906,1.070194767,64.44728661,2.485420408,2457833.432,69.46572316,0.415792777,0
25.187,20.06035265,48875488,6,0.0240122,6.825,0.326035794,0.853061455,18.67301195,181.7072083,287.7854981,0.574932886,323.6011374,1.131190023,2458114.158,217.8217198,1.250931692,0
19.6,24.43643362,65340896,0,0.22486,6.606,0.422455594,0.870280909,32.22691479,29.79498678,296.5429555,0.50262587,187.3922816,1.237935947,2457928.629,87.25022797,1.213989384,0
25.4,8.178060535,18553526,6,0.00361704,6.246,0.396835645,0.952890381,1.504765649,9.750383078,339.7526411,0.574749512,127.49003,1.331031251,2457879.218,128.5098086,1.059594412,0
20.4,13.99908588,40918004,1,0.0511177,6.484,0.514787632,0.89385758,21.09358037,12.96137181,308.6746169,0.433710753,218.6192689,1.354004407,2457927.52,85.11513055,1.166276656,0
19.1,15.47761552,31246566,1,0.00672532,3.275,0.71195075,2.176240135,13.3036865,355.4787924,1172.623653,0.626864339,86.23064423,3.725615932,2458259.957,280.3456586,0.30700387,1
22.8,10.35388121,15399087,6,0.0224851,5.303,0.270634426,1.185402268,6.072461618,10.38189098,471.4081184,0.864591606,81.31956728,1.50621293,2458069.78,307.0930837,0.763669496,0
24.5,7.035079264,17480564,6,0.025176,6.661,0.24992224,0.885545674,10.8007133,4.523783599,304.3791332,0.664228116,216.0885148,1.106863233,2458096.541,246.40938,1.182735479,0
24.4,4.543054195,63164000,8,0.0247658,4.545,0.398751214,1.455118168,2.698883026,12.47108402,641.1295905,0.874888031,93.69006032,2.035348305,2450100.317,36.03926311,0.561508945,0
26.6,23.69987137,69715352,7,0.0242782,7.499,0.3471996,0.75986087,24.78037108,22.38391211,241.9354715,0.49603748,185.4172635,1.02368426,2457910.789,133.4904732,1.488000076,0
18.9,34.71873679,56825760,0,0.0797107,3.625,0.687215532,1.814799732,27.92413358,30.87949107,892.9794953,0.56764117,104.3815071,3.061958295,2458089.414,324.1549104,0.403144755,0
22.3,12.98022659,25918202,3,0.0259126,5.372,0.25973232,1.166519916,5.035044226,28.85202161,460.1894558,0.863536992,271.6146744,1.469502839,2457770.913,179.6031186,0.782286503,0
19.5,7.54190726,71767928,0,0.107051,5.1,0.271942042,1.242319678,14.24516859,98.32819872,505.7646521,0.904480727,169.728133,1.580158628,2457965.665,24.79516197,0.711793516,0
18.2,18.15380738,37159120,0,0.00221412,5.673,0.194544376,1.069295735,24.83084157,39.13339239,403.8733332,0.861270264,78.20976413,1.277321206,2458150.979,225.8678287,0.891368581,1
24.5,11.28681471,39248196,6,0.025664,6.113,0.057337006,0.989173521,11.63229033,357.7895023,359.3413129,0.932457273,306.666111,1.045889769,2457858.76,141.9998844,1.00183304,0
22.1,23.72220568,52415584,1,0.095436,6.55,0.244817999,0.882109986,35.31551687,195.1507089,302.609484,0.666153584,187.9551444,1.098066388,2457880.985,142.1815303,1.189652073,0
25.3,11.64611137,44981772,6,0.0618104,6.504,0.155414041,0.913259109,13.09120506,252.5344599,318.7788104,0.771325821,344.0916159,1.055192397,2457869.526,147.9107629,1.129309691,0
18.3,11.64710673,70112592,1,0.013395,6.017,0.468567733,0.989526706,9.91682854,152.4478065,359.5337848,0.525866421,55.04820445,1.453186991,2458083.86,276.5319456,1.001296722,1
22.7,10.35324209,31336330,6,0.0758499,6.573,0.377101537,0.892437505,14.56422881,231.2389009,307.9393203,0.55589795,327.0394215,1.228977059,2458152.279,182.5608781,1.169061488,0
19.9,23.38412318,69361968,1,0.076602,4.483,0.407681907,1.479975539,6.850632237,128.1993836,657.6279044,0.876616288,195.7444816,2.083334789,2457880.502,65.68939439,0.547422026,0
19,12.13803165,53015068,0,0.0338689,4.744,0.400704962,1.341419602,21.59647394,356.5206025,567.4732567,0.803906112,64.62687149,1.878933092,2457993.823,4.235828003,0.634391129,1
20,21.5761474,36613344,5,0.111975,3.343,0.640099449,2.203387401,10.93665153,286.6297806,1194.633584,0.793000341,198.8800732,3.613774461,2458438.593,227.9818462,0.301347631,0
21,16.50157935,28088220,2,0.0679351,6.311,0.275789806,0.93886505,19.74382384,58.63805154,332.2792222,0.67993564,225.5447937,1.197794459,2457930.878,75.43067961,1.083426155,0
